Fecha,Isla,Temporada,Nidos_activos_por_visita,Notas
21/Nov/2014,Alcatraz,2014,834,NA
29/Nov/2014,Alcatraz,2014,639,NA
04/Dic/2014,Alcatraz,2014,627,NA
10/Dic/2014,Alcatraz,2014,679,NA
16/Dic/2014,Alcatraz,2014,844,NA
09/Ene/2015,Alcatraz,2014,857,NA
16/Ene/2015,Alcatraz,2014,667,NA
21/Ene/2015,Alcatraz,2014,509,NA
27/Ene/2015,Alcatraz,2014,169,NA
06/Feb/2015,Alcatraz,2014,66,NA
13/Feb/2015,Alcatraz,2014,22,NA
24/Sep/2015,Alcatraz,2015,5,NA
02/Oct/2015,Alcatraz,2015,47,NA
07/Oct/2015,Alcatraz,2015,68,NA
13/Oct/2015,Alcatraz,2015,349,NA
22/Oct/2015,Alcatraz,2015,543,NA
27/Oct/2015,Alcatraz,2015,551,NA
04/Nov/2015,Alcatraz,2015,744,NA
10/Nov/2015,Alcatraz,2015,907,NA
21/Nov/2015,Alcatraz,2015,1209,NA
25/Nov/2015,Alcatraz,2015,1090,NA
11/Dic/2015,Alcatraz,2015,1224,NA
14/Ene/2016,Alcatraz,2015,434,NA
23/Ene/2016,Alcatraz,2015,165,NA
27/Ene/2016,Alcatraz,2015,57,NA
03/Feb/2016,Alcatraz,2015,11,NA
04/Oct/2016,Alcatraz,2016,73,NA
21/Oct/2016,Alcatraz,2016,400,NA
24/Oct/2016,Alcatraz,2016,340,NA
02/Nov/2016,Alcatraz,2016,577,NA
08/Nov/2016,Alcatraz,2016,738,NA
15/Nov/2016,Alcatraz,2016,774,NA
29/Nov/2016,Alcatraz,2016,847,NA
09/Dic/2016,Alcatraz,2016,1184,NA
14/Dic/2016,Alcatraz,2016,1102,NA
05/Ene/2017,Alcatraz,2016,274,NA
13/Ene/2017,Alcatraz,2016,151,NA
18/Ene/2017,Alcatraz,2016,98,NA
04/Oct/2017,Alcatraz,2017,256,NA
11/Oct/2017,Alcatraz,2017,390,NA
20/Oct/2017,Alcatraz,2017,601,NA
24/Oct/2017,Alcatraz,2017,491,NA
03/Nov/2017,Alcatraz,2017,648,NA
10/Nov/2017,Alcatraz,2017,744,NA
15/Nov/2017,Alcatraz,2017,960,NA
22/Nov/2017,Alcatraz,2017,1032,NA
01/Dic/2017,Alcatraz,2017,1104,NA
05/Dic/2017,Alcatraz,2017,1041,NA
09/Ene/2018,Alcatraz,2017,382,NA
19/Ene/2018,Alcatraz,2017,233,NA
23/Ene/2018,Alcatraz,2017,150,NA
31/Ene/2018,Alcatraz,2017,119,NA
08/Feb/2018,Alcatraz,2017,100,NA
13/Feb/2018,Alcatraz,2017,94,NA
08/Mar/2018,Alcatraz,2017,61,NA
15/Mar/2018,Alcatraz,2017,43,NA
05/Oct/2018,Alcatraz,2018,358,NA
10/Oct/2018,Alcatraz,2018,434,NA
18/Oct/2018,Alcatraz,2018,329,NA
26/Oct/2018,Alcatraz,2018,408,NA
01/Nov/2018,Alcatraz,2018,479,NA
07/Nov/2018,Alcatraz,2018,402,NA
14/Nov/2018,Alcatraz,2018,597,NA
22/Nov/2018,Alcatraz,2018,626,NA
29/Nov/2018,Alcatraz,2018,780,NA
04/Dic/2018,Alcatraz,2018,828,NA
13/Dic/2018,Alcatraz,2018,842,NA
09/Ene/2019,Alcatraz,2018,232,NA
17/Ene/2019,Alcatraz,2018,189,NA
30/Ene/2019,Alcatraz,2018,105,NA
14/Feb/2019,Alcatraz,2018,86,NA
21/Feb/2019,Alcatraz,2018,91,NA
28/Feb/2019,Alcatraz,2018,49,NA
27/Ene/2012,Patos,2011,0,No usar
28/Feb/2012,Patos,2011,488,No usar
30/Mar/2012,Patos,2011,235,No usar
27/Abr/2012,Patos,2011,216,No usar
31/May/2012,Patos,2011,8,No usar
29/Jun/2012,Patos,2011,0,No usar
27/Jul/2012,Patos,2012,0,No usar
26/Oct/2012,Patos,2012,600,NA
30/Nov/2012,Patos,2012,1464,NA
14/Dic/2012,Patos,2012,1528,NA
25/Feb/2013,Patos,2012,388,NA
26/Abr/2013,Patos,2012,90,NA
24/May/2013,Patos,2012,289,NA
26/Jul/2013,Patos,2013,0,NA
31/Oct/2013,Patos,2013,484,NA
29/Nov/2013,Patos,2013,501,NA
13/Dic/2013,Patos,2013,1040,NA
28/Feb/2014,Patos,2013,174,NA
28/Mar/2014,Patos,2013,30,NA
18/Abr/2013,Patos,2012,100,NA
30/May/2013,Patos,2012,14,NA
25/Jul/2014,Patos,2014,0,NA
24/Oct/2014,Patos,2014,496,NA
21/Nov/2014,Patos,2014,990,Se perdió el pico de temporada en diciembre 2014
23/Ene/2015,Patos,2014,447,NA
20/Feb/2015,Patos,2014,216,NA
20/Mar/2015,Patos,2014,139,NA
17/Jul/2015,Patos,2015,0,NA
26/Feb/2016,Patos,2015,52,No usar
25/Mar/2016,Patos,2015,156,No usar
22/Abr/2016,Patos,2015,167,No usar
27/May/2016,Patos,2015,24,No usar
22/Jul/2016,Patos,2016,0,No usar
31/Ago/2016,Patos,2016,0,No usar
24/Feb/2017,Patos,2016,1,No usar
31/Mar/2017,Patos,2016,68,No usar
28/Abr/2017,Patos,2016,104,No usar
23/Jun/2017,Patos,2016,178,No usar
21/Jul/2017,Patos,2017,0,No usar
22/Sep/2017,Patos,2017,0,NA
20/Oct/2017,Patos,2017,562,NA
17/Nov/2017,Patos,2017,482,NA
05/Dic/2017,Patos,2017,1230,NA
19/Ene/2018,Patos,2017,193,NA
13/Abr/2018,Patos,2017,319,NA
25/May/2018,Patos,2017,1,NA
27/Jun/2018,Patos,2017,42,NA
19/Sep/2018,Patos,2018,236,NA
17/Oct/2018,Patos,2018,202,NA
16/Nov/2018,Patos,2018,265,NA
12/Dic/2018,Patos,2018,495,NA
31/Ene/2019,Patos,2018,445,NA
28/Feb/2019,Patos,2018,234,NA
29/Mar/2019,Patos,2018,149,NA
20/Abr/2019,Patos,2018,421,NA
31/May/2019,Patos,2018,336,NA
26/Feb/2012,Pajaros,2011,584,NA
29/Mar/2012,Pajaros,2011,616,NA
26/Abr/2012,Pajaros,2011,1168,NA
30/May/2012,Pajaros,2011,168,NA
28/Jun/2012,Pajaros,2011,12,NA
26/Jul/2012,Pajaros,2012,0,NA
27/Sep/2012,Pajaros,2012,0,NA
25/Oct/2012,Pajaros,2012,1700,NA
29/Nov/2012,Pajaros,2012,2480,NA
27/Feb/2013,Pajaros,2012,338,NA
28/Mar/2013,Pajaros,2012,0,NA
25/Abr/2013,Pajaros,2012,427,NA
23/May/2013,Pajaros,2012,190,NA
27/Jun/2013,Pajaros,2012,0,NA
25/Jun/2013,Pajaros,2012,0,NA
19/Sep/2013,Pajaros,2013,620,NA
30/Oct/2013,Pajaros,2013,565,NA
28/Nov/2013,Pajaros,2013,1390,NA
27/Feb/2014,Pajaros,2013,0,NA
27/Mar/2014,Pajaros,2013,17,NA
29/May/2014,Pajaros,2013,0,NA
26/Jun/2014,Pajaros,2013,44,NA
24/Jul/2014,Pajaros,2014,2,NA
28/Ago/2014,Pajaros,2014,0,NA
25/Sep/2014,Pajaros,2014,535,NA
23/Oct/2014,Pajaros,2014,980,NA
20/Nov/2014,Pajaros,2014,792,NA
19/Feb/2015,Pajaros,2014,279,NA
19/Mar/2015,Pajaros,2014,0,NA
15/May/2015,Pajaros,2014,0,NA
16/Jul/2015,Pajaros,2015,0,No usar
25/Feb/2016,Pajaros,2015,378,No usar
24/Mar/2016,Pajaros,2015,26,No usar
21/Abr/2016,Pajaros,2015,17,No usar
26/May/2016,Pajaros,2015,16,No usar
23/Jun/2016,Pajaros,2015,135,No usar
22/Oct/2016,Pajaros,2016,0,No usar
23/Feb/2017,Pajaros,2016,69,No usar
30/Mar/2017,Pajaros,2016,570,No usar
22/Jun/2017,Pajaros,2016,0,No usar
20/Jul/2017,Pajaros,2017,0,No usar
21/Sep/2017,Pajaros,2017,0,NA
19/Oct/2017,Pajaros,2017,0,NA
16/Nov/2017,Pajaros,2017,0,NA
04/Dic/2017,Pajaros,2017,813,NA
19/Ene/2018,Pajaros,2017,438,NA
08/Mar/2018,Pajaros,2017,586,NA
12/Abr/2018,Pajaros,2017,142,NA
24/May/2018,Pajaros,2017,12,NA
26/Jun/2018,Pajaros,2017,0,NA
18/Sep/2018,Pajaros,2018,0,NA
16/Oct/2018,Pajaros,2018,611,NA
17/Nov/2018,Pajaros,2018,636,NA
11/Dic/2018,Pajaros,2018,267,NA
30/Ene/2019,Pajaros,2018,432,NA
27/Feb/2019,Pajaros,2018,418,NA
28/Mar/2019,Pajaros,2018,31,NA
19/Abr/2019,Pajaros,2018,211,NA
30/May/2019,Pajaros,2018,360,NA
28/Mar/2014,Bledos,2013,5,No usar
18/Abr/2014,Bledos,2013,0,No usar
25/Jul/2014,Bledos,2014,0,No usar
24/Feb/2017,Bledos,2016,0,No usar
31/Mar/2017,Bledos,2016,0,No usar
28/Abr/2017,Bledos,2016,15,No usar
23/Jun/2017,Bledos,2016,0,No usar
21/Jul/2017,Bledos,2017,0,No usar
22/Sep/2017,Bledos,2017,0,No usar
20/Oct/2017,Bledos,2017,90,No usar
17/Nov/2017,Bledos,2017,165,No usar
05/Dic/2017,Bledos,2017,659,No usar
18/Ene/2018,Bledos,2017,517,No usar
09/Mar/2018,Bledos,2017,38,No usar
13/Abr/2018,Bledos,2017,22,No usar
25/May/2018,Bledos,2017,3,No usar
27/Jun/2018,Bledos,2017,5,No usar
19/Sep/2018,Bledos,2018,0,No usar
17/Oct/2018,Bledos,2018,333,No usar
16/Nov/2018,Bledos,2018,637,No usar
12/Dic/2018,Bledos,2018,676,No usar
31/Ene/2019,Bledos,2018,362,No usar
28/Feb/2019,Bledos,2018,383,No usar
20/Abr/2019,Bledos,2018,56,No usar
01/Oct/2019,Alcatraz,2019,402,NA
18/Oct/2019,Alcatraz,2019,417,section H not counted
06/Nov/2019,Alcatraz,2019,682,NA
26/Nov/2019,Alcatraz,2019,745,NA
13/Dic/2019,Alcatraz,2019,778,NA
09/Ene/2020,Alcatraz,2019,360,NA
31/Ene/2020,Alcatraz,2019,136,NA
NA,Alcatraz,2020,760,Enviado por correo
NA,Coronado,2013,187,NA
NA,Coronado,2014,185,NA
NA,Coronado,2015,127,NA
NA,Coronado,2016,168,NA
NA,Coronado,2017,93,NA
NA,Coronado,2018,175,NA
NA,Coronado,2019,312,NA
NA,Todos Santos,2014,137,NA
NA,Todos Santos,2015,164,NA
NA,Todos Santos,2016,100,NA
NA,Todos Santos,2017,238,NA
NA,Todos Santos,2018,123,NA
NA,Todos Santos,2019,209,NA
NA,San Martin,2014,600,NA
NA,San Martin,2015,478,NA
NA,San Martin,2016,564,NA
NA,San Martin,2017,791,NA
NA,San Martin,2018,534,NA
NA,San Jeronimo,2014,126,NA
NA,San Jeronimo,2015,99,NA
NA,San Jeronimo,2016,96,NA
NA,San Jeronimo,2017,150,NA
NA,San Jeronimo,2018,104,NA
NA,Natividad,2014,693,NA
NA,Natividad,2015,265,NA
NA,Natividad,2016,361,NA
NA,Natividad,2017,434,NA
NA,Natividad,2018,721,NA
NA,Natividad,2019,625,NA
NA,San Roque,2010,15,NA
NA,San Roque,2011,82,NA
NA,San Roque,2012,17,NA
NA,San Roque,2013,103,NA
NA,San Roque,2014,34,NA
NA,San Roque,2015,60,NA
NA,San Roque,2016,57,NA
NA,San Roque,2017,113,NA
NA,San Roque,2018,61,NA
NA,San Roque,2019,36,NA
NA,Asuncion,2010,7,NA
NA,Asuncion,2012,15,NA
NA,Asuncion,2013,128,NA
NA,Asuncion,2014,1,NA
NA,Asuncion,2015,50,NA
NA,Asuncion,2016,53,NA
NA,Asuncion,2017,131,NA
NA,Asuncion,2018,16,NA
NA,Asuncion,2019,152,NA
NA,San Benito,2016,20,NA
NA,San Benito,2017,40,NA
NA,San Benito,2018,10,NA
NA,San Benito,2019,7,NA
NA,Coronado Norte,1971,5,Reference: Gress et al. (1973). 
NA,Coronado Norte,1974,4,Reference: D.W Anderson; unpubl. Data. None of the other islands were visited.
NA,Coronado Norte,1976,0,Reference: D.W Anderson; unpubl. Data. None of the other islands were visited.
NA,Coronado Norte,1977,6,Reference: D.W Anderson; unpubl. Data. None of the other islands were visited.
NA,Coronado Norte,1980,48,Reference: D.W Anderson; unpubl. Data. None of the other islands were visited.
NA,Coronado Norte,1981,0,Reference: D.W Anderson and F. Gress; unpubl. Data. None of the other islands were visited.
NA,Coronado Norte,1982,29,Reference: D.W Anderson and F. Gress; unpubl. Data. None of the other islands were visited.
NA,Coronado Norte,1983,10,Reference: D.W Anderson and F. Gress; unpubl. Data. None of the other islands were visited.
NA,Coronado Norte,1984,42,Reference: D.W Anderson and F. Gress; unpubl. Data. None of the other islands were visited.
NA,Coronado Norte,1985,0,Reference: D.W Anderson; unpubl. Data. None of the other islands were visited.
NA,Coronado Norte,1989,12,Reference: F. Gress; unpubl. Data. 
NA,Coronado Norte,1991,24,Reference: F. Gress; unpubl. Data. 
NA,Coronado Norte,2002,163,Reference: Gress et al. 2005. 
NA,Coronado Norte,2003,220,Reference: Gress et al. 2005. 
19/Abr/2005,Coronado Norte,2005,130,Reference: Carter et al. 2006. Actual and potential nests.
20/May/2005,Coronado Norte,2005,130,Reference: Carter et al. 2006. 
22/Jun/2005,Coronado Norte,2005,130,Reference: Carter et al. 2006. 
19/Jul/2005,Coronado Norte,2005,130,Reference: Carter et al. 2006. Chicks of all ages
04/Mar/2006,Coronado Norte,2006,38,Reference: Whitworth et al. 2007. No cormorant chicks were observed
23/Abr/2006,Coronado Norte,2006,75,Reference: Whitworth et al. 2009. 
21/May/2006,Coronado Norte,2006,50,Reference: Whitworth et al. 2011. The reduced number of active nests since late April presumably reflected fledging; there was no evidence of widespread nest abandonment.
18/Jun/2006,Coronado Norte,2006,168,Reference: Whitworth et al. 2013. 
NA,Coronado Sur,1969,32,Reference: Gress et al. (1973). 
NA,Coronado Sur,1970,30,Reference: Gress et al. (1973). 
NA,Coronado Sur,1971,25,Reference: Gress et al. (1973). 
NA,Coronado Sur,1986,30,Reference: W.T. Everett; unpubl. Data. 
NA,Coronado Sur,1987,30,Reference: W.T. Everett; unpubl. Data. 
NA,Coronado Sur,1988,30,Reference: W.T. Everett; unpubl. Data. 
NA,Coronado Sur,1989,16,Reference: F. Gress; unpubl. Data. 
NA,Coronado Sur,1990,70,Reference: F. Gress; unpubl. Data. 
NA,Coronado Sur,1991,150,Reference: F. Gress; unpubl. Data. 
NA,Coronado Sur,1993,140,Reference: F. Gress and H. Carter; unpubl. Data. 
NA,Coronado Sur,2002,155,Reference: Gress et al. 2005. 
NA,Coronado Sur,2003,176,Reference: Gress et al. 2005. 
19/Abr/2005,Coronado Sur,2005,110,Reference: Carter et al. 2006. Actual and potential nests.
20/May/2005,Coronado Sur,2005,170,Reference: Carter et al. 2006. 
22/Jun/2005,Coronado Sur,2005,170,Reference: Carter et al. 2006. 
19/Jul/2005,Coronado Sur,2005,170,Reference: Carter et al. 2006. Chicks of all ages
04/Mar/2006,Coronado Sur,2006,40,Reference: Whitworth et al. 2008. No cormorant chicks were observed
23/Abr/2006,Coronado Sur,2006,180,Reference: Whitworth et al. 2010. 
21/May/2006,Coronado Sur,2006,150,Reference: Whitworth et al. 2012. Fledging from earlier-built nests had just begun.
18/Jun/2006,Coronado Sur,2006,230,Reference: Whitworth et al. 2014. The total number of nest attempts on South Island was 230; the largest on record
